time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
60.2,"(-0.22, -9.15, 3.97)","(8.1875, 23.375, -19.375)","(-0.006544984694978736, -0.003272492347489368, -0.009817477042468103)","(0.08, -0.23, 0.15)","(-0.12, -9.120000000000001, 3.59)","(359.375, -0.6875, 68.5)","(0.82659912109375, -0.56280517578125, 0.00457763671875, 0.0042724609375)"
61.2,"(-0.07, -9.120000000000001, 3.68)","(7.75, 23.6875, -20.1875)","(-0.002181661564992912, -0.001090830782496456, 0.0)","(1.28, 0.01, -0.05)","(-0.11, -9.11, 3.61)","(359.375, -0.6875, 68.3125)","(0.82720947265625, -0.56182861328125, 0.0045166015625, 0.004150390625)"
62.2,"(-0.19, -9.08, 3.56)","(7.0625, 23.6875, -20.1875)","(-0.002181661564992912, 0.001090830782496456, 0.002181661564992912)","(-0.03, 0.08, 0.01)","(-0.11, -9.11, 3.61)","(359.375, -0.6875, 68.3125)","(0.827392578125, -0.5616455078125, 0.00457763671875, 0.004150390625)"
63.2,"(-0.07, -9.07, 3.65)","(8.1875, 23.375, -19.75)","(-0.003272492347489368, 0.0, 0.001090830782496456)","(-0.01, 0.04, 0.08)","(-0.11, -9.11, 3.61)","(359.375, -0.6875, 68.3125)","(0.827392578125, -0.5616455078125, 0.00457763671875, 0.004150390625)"
64.2,"(-0.12, -9.18, 3.62)","(7.75, 24.25, -19.375)","(-0.008726646259971648, 0.0, -0.004363323129985824)","(-0.05, -0.02, 0.07)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.82781982421875, -0.5609130859375, 0.004638671875, 0.0042724609375)"
65.2,"(-0.11, -9.07, 3.7)","(7.5, 23.5625, -19.0)","(-0.001090830782496456, 0.003272492347489368, 0.0)","(0.0, 0.0, 0.01)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(-1.17205810546875, -0.560791015625, 0.004638671875, 0.00421142578125)"
66.21,"(-0.08, -9.05, 3.64)","(6.6875, 23.5625, -19.75)","(0.004363323129985824, -0.002181661564992912, 0.002181661564992912)","(-0.01, 0.0, 0.01)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.82794189453125, -0.560791015625, 0.004638671875, 0.00421142578125)"
67.2,"(-0.08, -9.08, 3.63)","(7.5, 23.25, -19.75)","(-0.002181661564992912, 0.002181661564992912, -0.001090830782496456)","(-0.01, 0.03, 0.05)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.82794189453125, -0.560791015625, 0.004638671875, 0.00421142578125)"
68.15,"(-0.03, -9.1, 3.63)","(7.75, 23.25, -19.375)","(-0.013089969389957472, -0.004363323129985824, -0.007635815477475192)","(-0.03, 0.0, 0.0)","(-0.12, -9.1, -324.05)","(367.375, -0.6875, -1979.8125)","(0.82794189453125, -0.560791015625, 0.004638671875, 0.00421142578125)"
69.14,"(-0.17, -9.120000000000001, 3.67)","(7.5, 23.25, -19.375)","(0.004363323129985824, 0.001090830782496456, 0.002181661564992912)","(-0.01, 0.02, 0.0)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.82794189453125, -0.560791015625, 0.004638671875, 0.0042724609375)"
70.15,"(-0.16, -9.040000000000001, -322.76)","(7.75, 22.5, -19.375)","(0.0, -0.001090830782496456, 0.001090830782496456)","(0.0, 0.02, 0.01)","(-0.12, -9.1, 3.63)","(-1680.625, -8.6875, 68.1875)","(-1.1719970703125, -0.56072998046875, 0.004638671875, 0.0042724609375)"
71.2,"(-0.03, -9.09, 3.69)","(7.75, 23.5625, -20.1875)","(-0.002181661564992912, 0.001090830782496456, -0.001090830782496456)","(-0.03, 0.0, -0.01)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.8280029296875, -0.56072998046875, 0.004638671875, 0.0042724609375)"
72.2,"(-0.05, -9.19, 3.65)","(7.5, -2025.125, -19.375)","(0.0, 0.0, -0.001090830782496456)","(-0.04, 0.0, 0.03)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.82794189453125, -0.560791015625, 0.004638671875, 0.0042724609375)"
73.2,"(-0.1, -9.1, 3.63)","(6.6875, 24.0, -19.375)","(0.001090830782496456, 0.002181661564992912, -0.001090830782496456)","(0.02, 0.0, 0.03)","(-0.12, -9.1, 3.63)","(359.375, -0.6875, 68.1875)","(0.82794189453125, -0.560791015625, 0.004638671875, 0.0042724609375)"
74.2,"(-0.13, -9.01, 3.6)","(7.6875, 22.5625, -20.875)","(0.009817477042468103, 0.004363323129985824, 0.006544984694978736)","(-0.12, 0.19, 0.04)","(-0.11, -9.11, 3.62)","(359.4375, -0.625, 68.3125)","(0.82745361328125, -0.5615234375, 0.00433349609375, 0.00384521484375)"
75.2,"(-0.1, -9.08, 3.74)","(7.375, 23.0, -19.375)","(-0.006544984694978736, -0.002181661564992912, -0.003272492347489368)","(0.03, 0.0, 0.04)","(-0.11, -9.11, 3.62)","(359.4375, -0.625, 68.3125)","(0.8275146484375, 1.43853759765625, 0.00439453125, 0.00396728515625)"
76.2,"(-0.1, -8.97, 3.67)","(7.6875, 23.0, -20.1875)","(0.002181661564992912, 0.003272492347489368, 0.001090830782496456)","(-0.02, 0.08, 0.04)","(-0.11, -9.11, 3.62)","(359.4375, -0.625, 68.25)","(0.82757568359375, -0.56134033203125, 0.00439453125, 0.00396728515625)"
77.2,"(-0.11, -9.05, 3.71)","(7.0, 23.6875, -18.25)","(0.0, 0.003272492347489368, 0.0)","(0.02, 0.01, 0.08)","(-0.11, -9.11, 3.62)","(367.4375, -0.625, 68.25)","(0.82757568359375, -0.561279296875, 0.00439453125, 0.00396728515625)"
78.2,"(-0.1, -9.17, 3.69)","(6.5625, 23.6875, -21.375)","(0.001090830782496456, 0.0, -0.002181661564992912)","(0.02, -0.02, 0.08)","(-0.11, -9.11, 3.62)","(359.4375, -0.625, -1979.75)","(0.8275146484375, -0.5614013671875, 0.00439453125, 0.00396728515625)"
79.2,"(0.49, -10.35, 4.0)","(6.875, 23.6875, -19.375)","(0.003272492347489368, -0.007635815477475192, 0.008726646259971648)","(-0.03, 0.1, 0.0)","(-0.1, -9.11, 3.62)","(367.4375, -0.625, 68.25)","(0.8275146484375, -0.5614013671875, 0.004150390625, 0.00372314453125)"
80.2,"(-0.1, -9.1, 3.66)","(7.5625, 22.5625, -20.1875)","(0.002181661564992912, 0.0, -0.001090830782496456)","(0.0, 0.0, 0.03)","(-0.11, -9.09, 3.65)","(359.4375, -0.625, 68.0625)","(0.8284912109375, -0.55999755859375, 0.00439453125, 0.0037841796875)"
81.15,"(-0.17, -7.73, 3.81)","(8.0, 23.375, -20.5625)","(-0.004363323129985824, -0.002181661564992912, 0.0)","(-0.02, 1.29, -0.1)","(-0.11, -9.09, 3.65)","(359.4375, -0.625, 68.0625)","(0.8284912109375, -0.5599365234375, 0.0042724609375, 0.00384521484375)"
82.14,"(-0.11, -7.75, 3.75)","(-2032.75, 23.375, -19.375)","(0.017453292519943295, -0.1407171709420428, 0.0)","(-0.05, 1.3900000000000001, 0.01)","(-0.11, -7.8, 3.69)","(-1680.5625, -8.625, 67.875)","(0.82952880859375, -0.55841064453125, 0.00439453125, 0.0037841796875)"
83.15,"(-0.07, -9.06, 3.63)","(7.25, 22.5, -19.375)","(0.019634954084936207, 0.002181661564992912, 0.0)","(-0.07, 0.05, -0.15)","(-0.11, -9.05, 5.04)","(359.4375, -8.625, 75.375)","(0.8319091796875, -0.554931640625, -1.98773193359375, 0.00384521484375)"
84.2,"(-0.14, -9.15, 3.5100000000000002)","(7.25, 22.875, -19.75)","(0.02181661564992912, 0.00545415391248228, 0.006544984694978736)","(-0.08, 0.0, -0.01)","(-0.11, -9.02, 3.8200000000000003)","(359.4375, -0.6875, 67.0)","(0.833740234375, -0.55206298828125, 0.0047607421875, 0.00390625)"
85.2,"(-0.12, -9.09, 3.9)","(7.5625, 22.6875, -19.875)","(-0.011999138607461015, 0.0, 0.0)","(0.09, 0.03, 0.09)","(-0.11, -9.01, 3.85)","(359.4375, -0.625, 66.8125)","(0.8345947265625, -0.55084228515625, 0.00457763671875, 0.00372314453125)"
86.2,"(-0.11, -8.96, 3.86)","(7.25, 22.0, -20.75)","(0.002181661564992912, 0.0, -0.002181661564992912)","(0.01, 0.0, -0.03)","(-0.11, -9.01, 3.84)","(359.4375, -0.625, 66.875)","(0.8343505859375, -0.55120849609375, 0.00457763671875, 0.00372314453125)"
